ds,trend_x,yhat_lower_x,yhat_upper_x,trend_lower_x,trend_upper_x,additive_terms_x,additive_terms_lower_x,additive_terms_upper_x,weekly_x,weekly_lower_x,weekly_upper_x,multiplicative_terms_x,multiplicative_terms_lower_x,multiplicative_terms_upper_x,yhat_x,trend_y,yhat_lower_y,yhat_upper_y,trend_lower_y,trend_upper_y,additive_terms_y,additive_terms_lower_y,additive_terms_upper_y,weekly_y,weekly_lower_y,weekly_upper_y,multiplicative_terms_y,multiplicative_terms_lower_y,multiplicative_terms_upper_y,yhat_y
2020-02-01,-3770.699975104271,-122706.45759827482,119833.67700438952,-3770.699975104271,-3770.699975104271,-958.62248325338,-958.62248325338,-958.62248325338,-958.62248325338,-958.62248325338,-958.62248325338,0.0,0.0,0.0,-4729.322458357651,-42.663416389586295,-271.4091510633574,198.51350771002592,-42.663416389586295,-42.663416389586295,12.08460180786209,12.08460180786209,12.08460180786209,12.08460180786209,12.08460180786209,12.08460180786209,0.0,0.0,0.0,-30.578814581724206
2020-02-02,-3648.373171613806,-117955.9602045052,122604.02653462853,-3648.373171613806,-3648.373171613806,5213.8830941025235,5213.8830941025235,5213.8830941025235,5213.8830941025235,5213.8830941025235,5213.8830941025235,0.0,0.0,0.0,1565.5099224887176,-41.46343296359117,-280.4104808438465,188.76627352667825,-41.46343296359117,-41.46343296359117,-7.898769791840386,-7.898769791840386,-7.898769791840386,-7.898769791840386,-7.898769791840386,-7.898769791840386,0.0,0.0,0.0,-49.362202755431554
2020-02-03,-3526.046368123341,-120819.19856579552,123424.10865543777,-3526.046368123341,-3526.046368123341,3825.037940648047,3825.037940648047,3825.037940648047,3825.037940648047,3825.037940648047,3825.037940648047,0.0,0.0,0.0,298.99157252470604,-40.26344953759605,-312.48364022253617,158.3810865047782,-40.26344953759605,-40.26344953759605,-30.273396917563268,-30.273396917563268,-30.273396917563268,-30.273396917563268,-30.273396917563268,-30.273396917563268,0.0,0.0,0.0,-70.53684645515932
2020-02-04,-3403.7195646328764,-125001.66336463773,115122.49064902253,-3403.7195646328764,-3403.7195646328764,-1338.5346218859358,-1338.5346218859358,-1338.5346218859358,-1338.5346218859358,-1338.5346218859358,-1338.5346218859358,0.0,0.0,0.0,-4742.254186518812,-39.063466111600924,-300.71579969474226,149.03688535803016,-39.063466111600924,-39.063466111600924,-48.898813953316285,-48.898813953316285,-48.898813953316285,-48.898813953316285,-48.898813953316285,-48.898813953316285,0.0,0.0,0.0,-87.96228006491721
2020-02-05,-3281.3927611424115,-129078.19858376023,106629.48084155502,-3281.3927611424115,-3281.3927611424115,-3239.984317753705,-3239.984317753705,-3239.984317753705,-3239.984317753705,-3239.984317753705,-3239.984317753705,0.0,0.0,0.0,-6521.3770788961165,-37.8634826856058,-221.6192850209718,237.05065992754072,-37.8634826856058,-37.8634826856058,42.782920405536494,42.782920405536494,42.782920405536494,42.782920405536494,42.782920405536494,42.782920405536494,0.0,0.0,0.0,4.919437719930691
2020-02-06,-3159.065957651946,-123881.23205221478,111695.23884517816,-3159.065957651946,-3159.065957651946,-2198.842889643038,-2198.842889643038,-2198.842889643038,-2198.842889643038,-2198.842889643038,-2198.842889643038,0.0,0.0,0.0,-5357.908847294984,-36.663499259610674,-248.4249957867861,220.88280095644495,-36.663499259610674,-36.663499259610674,16.917987730063956,16.917987730063956,16.917987730063956,16.917987730063956,16.917987730063956,16.917987730063956,0.0,0.0,0.0,-19.745511529546718
2020-02-07,-3036.7391541614816,-128862.87150470963,115185.60776620115,-3036.7391541614816,-3036.7391541614816,-1302.9367222184956,-1302.9367222184956,-1302.9367222184956,-1302.9367222184956,-1302.9367222184956,-1302.9367222184956,0.0,0.0,0.0,-4339.675876379977,-35.46351583361556,-235.91776581312175,191.81255500690472,-35.46351583361556,-35.46351583361556,15.285470719447732,15.285470719447732,15.285470719447732,15.285470719447732,15.285470719447732,15.285470719447732,0.0,0.0,0.0,-20.17804511416783
2020-02-08,-2914.4123506710166,-122071.92648638402,119657.20443687482,-2914.4123506710166,-2914.4123506710166,-958.6224832502317,-958.6224832502317,-958.6224832502317,-958.6224832502317,-958.6224832502317,-958.6224832502317,0.0,0.0,0.0,-3873.0348339212483,-34.26353240762043,-250.51620944708395,218.1189652491841,-34.26353240762043,-34.26353240762043,12.084601808028351,12.084601808028351,12.084601808028351,12.084601808028351,12.084601808028351,12.084601808028351,0.0,0.0,0.0,-22.17893059959208
2020-02-09,-2792.0855471805517,-126122.79966157189,131160.02661063947,-2792.0855471805517,-2792.0855471805517,5213.883094104697,5213.883094104697,5213.883094104697,5213.883094104697,5213.883094104697,5213.883094104697,0.0,0.0,0.0,2421.7975469241455,-33.0635489816253,-258.47699862920126,190.1135561951849,-33.0635489816253,-33.0635489816253,-7.898769791896021,-7.898769791896021,-7.898769791896021,-7.898769791896021,-7.898769791896021,-7.898769791896021,0.0,0.0,0.0,-40.962318773521325
2020-02-10,-2669.7587436900867,-108691.55328776743,113721.80544986253,-2669.7587436900867,-2669.7587436900867,3825.0379406417105,3825.0379406417105,3825.0379406417105,3825.0379406417105,3825.0379406417105,3825.0379406417105,0.0,0.0,0.0,1155.2791969516238,-31.863565555630185,-286.4613168863488,160.2434044933622,-31.863565555630185,-31.863565555630185,-30.273396917648675,-30.273396917648675,-30.273396917648675,-30.273396917648675,-30.273396917648675,-30.273396917648675,0.0,0.0,0.0,-62.13696247327886
